,movie,year,imdb,metascore,votes,n_imdb
1609,Whip It,2009,6.9,68,59723,69.0
1610,The Girl Who Kicked the Hornet's Nest,2009,7.3,60,59659,73.0
1611,Dead Snow,2009,6.3,61,59206,63.0
1612,Agora,2009,7.2,55,59143,72.0
1613,Land of the Lost,2009,5.4,32,57926,54.0
1614,The Informant!,2009,6.5,66,57221,65.0
1615,The Boondock Saints II: All Saints Day,2009,6.3,24,57058,63.0
1616,Brooklyn's Finest,2009,6.7,43,56364,67.0
1617,Observe and Report,2009,5.8,54,55728,58.0
1618,Enter the Void,2009,7.3,69,55710,73.0
1619,The Haunting in Connecticut,2009,5.9,33,54715,59.0
1620,Everybody's Fine,2009,7.1,47,54436,71.0
1621,Fish Tank,2009,7.3,81,53168,73.0
1622,Fanboys,2009,6.6,45,53042,66.0
1623,The Young Victoria,2009,7.3,64,51709,73.0
1624,The Collector,2009,6.4,29,49975,64.0
1625,Valhalla Rising,2009,6.0,61,49525,60.0
1626,In the Loop,2009,7.5,83,49226,75.0
1627,My Bloody Valentine,2009,5.5,51,49134,55.0
1628,Race to Witch Mountain,2009,5.7,52,48860,57.0
1629,Away We Go,2009,7.1,58,48652,71.0
1630,The Soloist,2009,6.7,61,47210,67.0
1631,The Unborn,2009,4.8,30,45580,48.0
1632,Planet 51,2009,6.1,39,45509,61.0
1633,Duplicity,2009,6.2,69,44197,62.0
1634,The Cove,2009,8.5,84,43968,85.0
1635,Extract,2009,6.2,61,41518,62.0
1636,Halloween II,2009,4.9,35,41255,49.0
1637,Black Dynamite,2009,7.4,65,40700,74.0
1638,District 13: Ultimatum,2009,6.5,64,40120,65.0
1639,Nine,2009,5.8,49,40002,58.0
1640,Fired Up!,2009,6.2,31,39810,62.0
1641,Cirque du Freak: The Vampire's Assistant,2009,5.9,43,39092,59.0
1642,Capitalism: A Love Story,2009,7.4,61,38651,74.0
1643,The Pink Panther 2,2009,5.6,36,37457,56.0
1644,G-Force,2009,5.1,41,37245,51.0
1645,Alvin and the Chipmunks: The Squeakquel,2009,4.5,41,36747,45.0
1646,The Damned United,2009,7.6,81,36668,76.0
1647,Notorious,2009,6.7,60,36599,67.0
1648,All About Steve,2009,4.8,17,36165,48.0
1649,The Joneses,2009,6.5,55,36017,65.0
1650,Thirst,2009,7.2,73,35747,72.0
1651,This Is It,2009,7.3,67,35437,73.0
1652,Hannah Montana: The Movie,2009,4.3,47,35391,43.0
1653,Spread,2009,5.9,43,35262,59.0
1654,Coco Before Chanel,2009,6.7,65,35221,67.0
1655,About Elly,2009,8.1,87,34871,81.0
1656,The House of the Devil,2009,6.4,73,34855,64.0
1657,Middle Men,2009,6.6,60,34565,66.0
1658,Broken Embraces,2009,7.2,76,34559,72.0
1659,World's Greatest Dad,2009,6.9,69,34548,69.0
1660,Mother,2009,7.8,79,34424,78.0
1661,After.Life,2009,5.9,36,33592,59.0
1662,Old Dogs,2009,5.4,19,33579,54.0
1663,Defendor,2009,6.8,57,33498,68.0
1664,Did You Hear About the Morgans?,2009,4.8,27,32929,48.0
1665,Soul Kitchen,2009,7.3,76,32709,73.0
1666,Inception,2010,8.8,74,1727903,88.0
1667,Shutter Island,2010,8.1,63,942754,81.0
1668,Toy Story 3,2010,8.3,92,642726,83.0
1669,Black Swan,2010,8.0,79,619032,80.0
1670,Iron Man 2,2010,7.0,57,607563,70.0
1671,How to Train Your Dragon,2010,8.1,74,572856,81.0
1672,The King's Speech,2010,8.0,88,567391,80.0
1673,The Social Network,2010,7.7,95,544670,77.0
1674,Kick-Ass,2010,7.6,66,480720,76.0
1675,Despicable Me,2010,7.7,72,440936,77.0
1676,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,393258,77.0
1677,Alice in Wonderland,2010,6.5,53,343547,65.0
1678,Tangled,2010,7.8,71,343147,78.0
1679,Scott Pilgrim vs. the World,2010,7.5,69,319047,75.0
1680,Easy A,2010,7.1,72,314797,71.0
1681,127 Hours,2010,7.6,82,311033,76.0
1682,The Town,2010,7.6,74,310198,76.0
1683,The Fighter,2010,7.8,79,304765,78.0
1684,The Expendables,2010,6.5,45,297492,65.0
1685,Due Date,2010,6.6,51,294633,66.0
1686,TRON: Legacy,2010,6.8,49,286998,68.0
1687,True Grit,2010,7.6,80,269968,76.0
1688,Salt,2010,6.4,65,268409,64.0
1689,RED,2010,7.1,60,262786,71.0
1690,The Book of Eli,2010,6.9,53,256834,69.0
1691,Clash of the Titans,2010,5.8,39,248615,58.0
1692,Prince of Persia: The Sands of Time,2010,6.6,50,245660,66.0
1693,Insidious,2010,6.8,52,239170,68.0
1694,Robin Hood,2010,6.7,53,231644,67.0
1695,The A-Team,2010,6.8,47,228607,68.0
1696,The Other Guys,2010,6.7,64,212221,67.0
1697,The Twilight Saga: Eclipse,2010,5.0,58,202658,50.0
1698,Grown Ups,2010,6.0,30,201743,60.0
1699,The Tourist,2010,6.0,37,197998,60.0
1700,Megamind,2010,7.3,63,197040,73.0
1701,Predators,2010,6.4,51,189312,64.0
1702,Machete,2010,6.6,60,177471,66.0
1703,Unstoppable,2010,6.8,69,166048,68.0
1704,Knight and Day,2010,6.3,46,162882,63.0
1705,Blue Valentine,2010,7.4,81,162266,74.0
1706,The Next Three Days,2010,7.4,52,160973,74.0
1707,Love & Other Drugs,2010,6.7,55,160567,67.0
1708,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,158542,59.0
1709,Shrek Forever After,2010,6.3,58,157677,63.0
1710,Get Him to the Greek,2010,6.4,65,157471,64.0
1711,Hot Tub Time Machine,2010,6.4,63,149504,64.0
1712,Resident Evil: Afterlife,2010,5.9,37,148164,59.0
1713,Tucker and Dale vs Evil,2010,7.6,65,147135,76.0
1714,The Ghost Writer,2010,7.2,77,144239,72.0
1715,Date Night,2010,6.3,56,139873,63.0
1716,The Karate Kid,2010,6.2,61,139233,62.0
1717,The Sorcerer's Apprentice,2010,6.1,46,138516,61.0
1718,Buried,2010,7.0,65,133522,70.0
1719,The Last Airbender,2010,4.1,20,131818,41.0
1720,Remember Me,2010,7.1,40,125395,71.0
1721,Never Let Me Go,2010,7.2,69,125292,72.0
1722,Winter's Bone,2010,7.2,90,122717,72.0
1723,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,121908,63.0
1724,Dear John,2010,6.3,43,121632,63.0
1725,It's Kind of a Funny Story,2010,7.1,63,121174,71.0
1726,Green Zone,2010,6.8,63,119261,68.0
1727,The Kids Are All Right,2010,7.0,86,118174,70.0
1728,Devil,2010,6.2,44,117480,62.0
1729,Incendies,2010,8.2,80,112417,82.0
1730,She's Out of My League,2010,6.4,46,111327,64.0
1731,Life as We Know It,2010,6.6,39,107971,66.0
1732,The Bounty Hunter,2010,5.5,22,107885,55.0
1733,From Paris with Love,2010,6.5,42,104442,65.0
1734,Valentine's Day,2010,5.7,34,103453,57.0
1735,Let Me In,2010,7.1,79,103053,71.0
1736,The Crazies,2010,6.5,55,101366,65.0
1737,The Way Back,2010,7.3,66,98291,73.0
1738,The Wolfman,2010,5.8,43,95283,58.0
1739,Little Fockers,2010,5.5,27,95272,55.0
1740,Repo Men,2010,6.3,32,93670,63.0
1741,Wall Street: Money Never Sleeps,2010,6.2,59,90954,62.0
1742,Paranormal Activity 2,2010,5.7,53,90119,57.0
1743,Legion,2010,5.2,32,88815,52.0
1744,Faster,2010,6.5,44,88039,65.0
1745,Dinner for Schmucks,2010,5.9,56,87712,59.0
1746,I Saw the Devil,2010,7.8,67,87547,78.0
1747,The Switch,2010,6.1,52,87110,61.0
1748,My Name Is Khan,2010,8.0,50,85895,80.0
1749,Hereafter,2010,6.5,56,85236,65.0
1750,The American,2010,6.3,61,84933,63.0
1751,Letters to Juliet,2010,6.6,50,82805,66.0
1752,A Nightmare on Elm Street,2010,5.2,35,82535,52.0
1753,Monsters,2010,6.4,63,82511,64.0
1754,Ip Man 2,2010,7.6,67,82430,76.0
1755,Edge of Darkness,2010,6.6,55,82233,66.0
1756,Skyline,2010,4.4,26,81966,44.0
1757,Beginners,2010,7.2,81,81576,72.0
1758,Leap Year,2010,6.5,33,81440,65.0
1759,The Losers,2010,6.4,44,80644,64.0
1760,Cop Out,2010,5.6,31,79726,56.0
1761,Saw 3D: The Final Chapter,2010,5.6,24,79607,56.0
1762,Killers,2010,5.4,21,79431,54.0
1763,Piranha 3D,2010,5.5,53,78938,55.0
1764,Biutiful,2010,7.5,58,77423,75.0
1765,Submarine,2010,7.3,76,76801,73.0
1766,Eat Pray Love,2010,5.7,50,73178,57.0
1767,Elite Squad: The Enemy Within,2010,8.1,71,72845,81.0
1768,Legend of the Guardians: The Owls of Ga'Hoole,2010,7.0,53,71690,70.0
1769,Flipped,2010,7.7,45,71474,77.0
1770,Centurion,2010,6.4,62,71453,64.0
1771,The Last Song,2010,5.9,33,69838,59.0
1772,Super,2010,6.8,50,68300,68.0
1773,Burlesque,2010,6.4,47,68014,64.0
1774,Sex and the City 2,2010,4.4,27,66206,44.0
1775,I Spit on Your Grave,2010,6.3,27,64795,63.0
1776,Morning Glory,2010,6.5,57,64585,65.0
1777,The Secret World of Arrietty,2010,7.6,80,64016,76.0
1778,Four Lions,2010,7.3,68,63665,73.0
1779,Inside Job,2010,8.3,88,63185,83.0
1780,Trollhunter,2010,7.0,61,61175,70.0
1781,Frozen,2010,6.2,43,59808,62.0
1782,The Debt,2010,6.9,65,59414,69.0
1783,Gulliver's Travels,2010,4.9,33,58585,49.0
1784,Exit Through the Gift Shop,2010,8.0,85,56825,80.0
1785,13 Assassins,2010,7.6,84,56454,76.0
1786,When in Rome,2010,5.6,25,55552,56.0
1787,Going the Distance,2010,6.3,51,53464,63.0
1788,Charlie St. Cloud,2010,6.5,37,52875,65.0
1789,Jackass 3D,2010,7.0,56,51806,70.0
1790,Senna,2010,8.6,79,51792,86.0
1791,Step Up 3D,2010,6.2,45,51693,62.0
1792,Takers,2010,6.2,45,51399,62.0
1793,Jonah Hex,2010,4.7,33,50106,47.0
1794,Animal Kingdom,2010,7.3,83,50026,73.0
1795,All Good Things,2010,6.3,57,47524,63.0
1796,Hesher,2010,7.0,45,47341,70.0
1797,You Again,2010,5.8,28,44954,58.0
1798,Everything Must Go,2010,6.4,65,44697,64.0
1799,The Last Exorcism,2010,5.6,63,44645,56.0
1800,The Back-up Plan,2010,5.3,34,44535,53.0
1801,Rabbit Hole,2010,7.0,76,44212,70.0
1802,London Boulevard,2010,6.2,52,43625,62.0
1803,Don't Be Afraid of the Dark,2010,5.6,56,43543,56.0
1804,Last Night,2010,6.6,50,43453,66.0
1805,The Runaways,2010,6.6,65,42751,66.0
1806,Vampires Suck,2010,3.4,18,42294,34.0
1807,Fair Game,2010,6.8,69,42061,68.0
1808,You Will Meet a Tall Dark Stranger,2010,6.3,51,40484,63.0
1809,Death at a Funeral,2010,5.7,51,39992,57.0
1810,Black Death,2010,6.4,71,39750,64.0
1811,The Company Men,2010,6.8,69,39649,68.0
1812,Somewhere,2010,6.3,67,39200,63.0
1813,How Do You Know,2010,5.4,46,39046,54.0
1814,MacGruber,2010,5.5,43,38707,55.0
1815,Conviction,2010,7.2,61,38573,72.0
1816,Trust,2010,6.9,60,38120,69.0
1817,Catfish,2010,7.1,65,37892,71.0
1818,Stake Land,2010,6.5,66,37806,65.0
1819,Stone,2010,5.4,58,37689,54.0
1820,13,2010,6.1,29,37398,61.0
1821,The Ward,2010,5.6,38,36958,56.0
1822,Diary of a Wimpy Kid,2010,6.2,56,36761,62.0
1823,In a Better World,2010,7.6,65,35567,76.0
1824,Tooth Fairy,2010,5.0,36,35426,50.0
1825,The Spy Next Door,2010,5.4,27,34945,54.0
1826,Greenberg,2010,6.1,76,32893,61.0
1827,Wild Target,2010,6.8,41,32736,68.0
1828,Cyrus,2010,6.3,74,31887,63.0
1829,The Illusionist,2010,7.5,82,30865,75.0
1830,The Killer Inside Me,2010,6.1,53,30820,61.0
1831,Rubber,2010,5.8,59,29721,58.0
1832,6 Souls,2010,6.1,28,29051,61.0
1833,"Tomorrow, When the War Began",2010,6.2,54,28674,62.0
1834,The Whistleblower,2010,7.2,59,28456,72.0
1835,Happythankyoumoreplease,2010,6.8,45,27892,68.0
1836,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650377,81.0
1837,Thor,2011,7.0,57,629587,70.0
1838,The Intouchables,2011,8.5,57,625952,85.0
1839,Captain America: The First Avenger,2011,6.9,66,608517,69.0
1840,X-Men: First Class,2011,7.8,65,582697,78.0
1841,Drive,2011,7.8,78,497002,78.0
1842,Limitless,2011,7.4,59,471256,74.0
1843,Rise of the Planet of the Apes,2011,7.6,68,457956,76.0
1844,Source Code,2011,7.5,74,432828,75.0
1845,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,427194,66.0
1846,"Crazy, Stupid, Love.",2011,7.4,68,420035,74.0
1847,The Hangover Part II,2011,6.5,44,415816,65.0
1848,Mission: Impossible - Ghost Protocol,2011,7.4,73,401981,74.0
1849,Horrible Bosses,2011,6.9,57,386491,69.0
1850,Warrior,2011,8.2,71,385892,82.0
1851,Sherlock Holmes: A Game of Shadows,2011,7.5,48,378593,75.0
1852,The Help,2011,8.1,62,373349,81.0
1853,The Girl with the Dragon Tattoo,2011,7.8,71,370865,78.0
1854,Transformers: Dark of the Moon,2011,6.3,42,355090,63.0
1855,Midnight in Paris,2011,7.7,81,341974,77.0
1856,In Time,2011,6.7,53,335109,67.0
1857,Fast Five,2011,7.3,66,317563,73.0
1858,Moneyball,2011,7.6,87,313115,76.0
1859,Super 8,2011,7.0,72,311529,70.0
1860,Friends with Benefits,2011,6.6,63,304196,66.0
1861,50/50,2011,7.7,72,293268,77.0
1862,Real Steel,2011,7.1,56,276463,71.0
1863,Hugo,2011,7.5,83,274244,75.0
1864,Green Lantern,2011,5.6,39,244088,56.0
1865,Bridesmaids,2011,6.8,75,241097,68.0
1866,Unknown,2011,6.9,56,228196,69.0
1867,The Grey,2011,6.8,64,221789,68.0
1868,The Adjustment Bureau,2011,7.1,60,219684,71.0
1869,The Descendants,2011,7.3,84,218451,73.0
1870,Kung Fu Panda 2,2011,7.3,67,213884,73.0
1871,Sucker Punch,2011,6.1,33,213008,61.0
1872,Paul,2011,7.0,57,212460,70.0
1873,I Am Number Four,2011,6.1,36,211715,61.0
1874,The Artist,2011,7.9,89,210426,79.0
1875,Rango,2011,7.2,75,206469,72.0
1876,The Ides of March,2011,7.1,67,203076,71.0
1877,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,199648,49.0
1878,The Adventures of Tintin,2011,7.4,68,195280,74.0
1879,Contagion,2011,6.6,70,195154,66.0
1880,Just Go with It,2011,6.4,33,192887,64.0
1881,The Lincoln Lawyer,2011,7.3,63,189948,73.0
1882,Cowboys & Aliens,2011,6.0,50,189645,60.0
1883,No Strings Attached,2011,6.2,50,189294,62.0
1884,A Separation,2011,8.3,95,183840,83.0
1885,Rio,2011,6.9,63,183504,69.0
1886,Bad Teacher,2011,5.6,47,175222,56.0
1887,Hanna,2011,6.8,65,172291,68.0
1888,Tinker Tailor Soldier Spy,2011,7.1,85,168007,71.0
1889,The Raid: Redemption,2011,7.6,73,167208,76.0
1890,Shame,2011,7.2,72,165067,72.0
1891,Battle Los Angeles,2011,5.8,37,163779,58.0
1892,The Tree of Life,2011,6.8,85,151228,68.0
1893,The Change-Up,2011,6.3,39,148915,63.0
1894,Immortals,2011,6.0,46,148774,60.0
1895,Melancholia,2011,7.1,80,146176,71.0
1896,The Green Hornet,2011,5.8,39,145317,58.0
1897,The Mechanic,2011,6.6,49,136204,66.0
1898,War Horse,2011,7.2,72,130780,72.0
1899,Puss in Boots,2011,6.7,65,127530,67.0
1900,Cars 2,2011,6.2,57,126243,62.0
1901,We Bought a Zoo,2011,7.1,58,122544,71.0
1902,One Day,2011,7.0,48,121781,70.0
1903,Tower Heist,2011,6.2,59,120392,62.0
1904,The Skin I Live In,2011,7.6,70,117670,76.0
1905,We Need to Talk About Kevin,2011,7.5,68,116139,75.0
1906,Killer Elite,2011,6.5,44,114160,65.0
1907,Scream 4,2011,6.2,52,114134,62.0
1908,J. Edgar,2011,6.6,59,112524,66.0
1909,Hall Pass,2011,5.9,45,110938,59.0
1910,Carnage,2011,7.2,61,107267,72.0
1911,The Thing,2011,6.2,49,106662,62.0
1912,Priest,2011,5.7,41,104816,57.0
1913,Water for Elephants,2011,6.9,52,103028,69.0
1914,Margin Call,2011,7.1,76,103027,71.0
1915,Johnny English Reborn,2011,6.3,46,100289,63.0
1916,Red Riding Hood,2011,5.5,29,99329,55.0
1917,Ghost Rider: Spirit of Vengeance,2011,4.3,34,98962,43.0
1918,The Three Musketeers,2011,5.8,35,95996,58.0
1919,Final Destination 5,2011,5.9,50,93690,59.0
1920,The Rum Diary,2011,6.2,56,92647,62.0
1921,The Iron Lady,2011,6.4,54,92645,64.0
1922,Fright Night,2011,6.4,64,91886,64.0
1923,Your Highness,2011,5.5,31,90988,55.0
1924,Attack the Block,2011,6.6,75,90664,66.0
1925,Extremely Loud & Incredibly Close,2011,6.9,46,90466,69.0
1926,A Dangerous Method,2011,6.4,76,90025,64.0
1927,Headhunters,2011,7.6,72,88483,76.0
1928,Conan the Barbarian,2011,5.2,36,88156,52.0
1929,Drive Angry,2011,5.4,44,87769,54.0
1930,30 Minutes or Less,2011,6.1,49,84776,61.0
1931,Colombiana,2011,6.4,45,84191,64.0
1932,Paranormal Activity 3,2011,5.8,59,83244,58.0
1933,Season of the Witch,2011,5.4,28,82939,54.0
1934,The Rite,2011,6.0,38,82824,60.0
1935,The Best Exotic Marigold Hotel,2011,7.3,62,82700,73.0
1936,Another Earth,2011,7.0,66,82565,70.0
1937,The Muppets,2011,7.1,75,80532,71.0
1938,Take Shelter,2011,7.4,85,79726,74.0
1939,Our Idiot Brother,2011,6.4,60,79081,64.0
1940,Goon,2011,6.8,64,78026,68.0
1941,My Week with Marilyn,2011,7.0,65,77386,70.0
1942,Haywire,2011,5.8,67,77044,58.0
1943,Mr. Popper's Penguins,2011,6.0,53,76493,60.0
1944,You're Next,2011,6.5,66,75001,65.0
1945,Justin Bieber: Never Say Never,2011,1.6,52,74871,16.0
1946,The Smurfs,2011,5.5,30,74599,55.0
1947,New Year's Eve,2011,5.7,22,73661,57.0
1948,The Guard,2011,7.3,78,72552,73.0
1949,Jane Eyre,2011,7.4,76,71646,74.0
1950,Young Adult,2011,6.3,71,70477,63.0
1951,The Inbetweeners Movie,2011,6.8,44,70442,68.0
1952,Beastly,2011,5.6,40,70255,56.0
1953,Abduction,2011,5.1,25,70234,51.0
1954,Jack and Jill,2011,3.3,23,67794,33.0
1955,Detachment,2011,7.7,52,66189,77.0
1956,What's Your Number?,2011,6.1,35,65615,61.0
1957,Killer Joe,2011,6.7,62,65614,67.0
1958,God Bless America,2011,7.2,56,64599,72.0
1959,The Sitter,2011,5.7,39,64180,57.0
1960,A Very Harold & Kumar 3D Christmas,2011,6.3,61,60178,63.0
1961,The Eagle,2011,6.2,55,59236,62.0
1962,"Jeff, Who Lives at Home",2011,6.5,60,59057,65.0
1963,Machine Gun Preacher,2011,6.8,43,58286,68.0
1964,Red State,2011,6.2,50,57893,62.0
1965,The Awakening,2011,6.5,53,57747,65.0
1966,The Devil's Double,2011,7.1,52,57179,71.0
1967,Dream House,2011,6.0,35,57105,60.0
1968,Salmon Fishing in the Yemen,2011,6.8,58,56899,68.0
1969,Larry Crowne,2011,6.1,41,56034,61.0
1970,Like Crazy,2011,6.7,68,53768,67.0
1971,The Darkest Hour,2011,4.9,18,53687,49.0
1972,Something Borrowed,2011,5.9,36,52585,59.0
1973,Bernie,2011,6.8,75,52126,68.0
1974,The Art of Getting By,2011,6.6,36,51818,66.0
1975,Win Win,2011,7.2,75,50925,72.0
1976,Sanctum,2011,5.9,42,50220,59.0
1977,Zookeeper,2011,5.2,30,50186,52.0
1978,Apollo 18,2011,5.2,24,50143,52.0
1979,Perfect Sense,2011,7.1,55,48897,71.0
1980,Arthur,2011,5.7,36,47984,57.0
1981,Gnomeo & Juliet,2011,6.0,53,47605,60.0
1982,Take Me Home Tonight,2011,6.3,42,47140,63.0
1983,The Dilemma,2011,5.3,46,47059,53.0
1984,Grave Encounters,2011,6.1,33,46064,61.0
1985,Don 2,2011,7.1,49,44511,71.0
1986,Martha Marcy May Marlene,2011,6.9,75,44438,69.0
1987,The Beaver,2011,6.7,60,43920,67.0
1988,The Flowers of War,2011,7.6,46,43716,76.0
1989,Arthur Christmas,2011,7.1,69,42403,71.0
1990,Seeking Justice,2011,6.2,38,41813,62.0
1991,Footloose,2011,5.9,58,41550,59.0
1992,Hobo with a Shotgun,2011,6.1,55,40556,61.0
1993,Soul Surfer,2011,7.1,53,39888,71.0
1994,Kill the Irishman,2011,7.1,50,39686,71.0
1995,Friends with Kids,2011,6.2,55,38475,62.0
1996,The Big Year,2011,6.2,53,38372,62.0
1997,Trespass,2011,5.3,37,38120,53.0
1998,Ironclad,2011,6.2,42,37181,62.0
1999,Monte Carlo,2011,5.8,43,37107,58.0
2000,Anonymous,2011,6.9,50,36969,69.0
2001,Happy Feet Two,2011,5.9,50,36623,59.0
2002,Cedar Rapids,2011,6.3,70,34271,63.0
2003,Ra.One,2011,4.8,60,34254,48.0
2004,The Hunter,2011,6.8,63,33814,68.0
2005,The Divide,2011,5.8,28,32768,58.0
2006,In the Land of Blood and Honey,2011,4.4,56,32465,44.0
2007,The Dark Knight Rises,2012,8.4,78,1317983,84.0
2008,Django Unchained,2012,8.4,81,1139142,84.0
2009,The Avengers,2012,8.1,69,1115715,81.0
2010,The Hunger Games,2012,7.2,68,770615,72.0
2011,The Hobbit: An Unexpected Journey,2012,7.9,58,698306,79.0
2012,Silver Linings Playbook,2012,7.8,81,597161,78.0
2013,Skyfall,2012,7.8,81,572699,78.0
2014,Prometheus,2012,7.0,64,520964,70.0
2015,Ted,2012,7.0,62,519493,70.0
2016,Argo,2012,7.7,86,513409,77.0
2017,Life of Pi,2012,7.9,79,506965,79.0
2018,The Amazing Spider-Man,2012,7.0,66,503360,70.0
2019,Looper,2012,7.4,84,479996,74.0
2020,21 Jump Street,2012,7.2,69,458893,72.0
2021,The Perks of Being a Wallflower,2012,8.0,67,405025,80.0
2022,The Cabin in the Woods,2012,7.0,72,319805,70.0
2023,Brave,2012,7.1,69,317730,71.0
2024,Cloud Atlas,2012,7.5,55,316043,75.0
2025,Wreck-It Ralph,2012,7.7,72,313748,77.0
2026,Men in Black 3,2012,6.8,58,293357,68.0
2027,Flight,2012,7.3,76,290342,73.0
2028,Moonrise Kingdom,2012,7.8,84,276955,78.0
2029,Les Misérables,2012,7.6,63,273605,76.0
2030,The Expendables 2,2012,6.6,51,269027,66.0
2031,Jack Reacher,2012,7.0,50,268726,70.0
2032,Taken 2,2012,6.3,45,263412,63.0
2033,The Bourne Legacy,2012,6.7,61,258933,67.0
2034,Snow White and the Huntsman,2012,6.1,57,250601,61.0
2035,Pitch Perfect,2012,7.2,66,244260,72.0
2036,Zero Dark Thirty,2012,7.4,95,240416,74.0
2037,The Dictator,2012,6.4,58,239111,64.0
2038,John Carter,2012,6.6,51,231376,66.0
2039,Dredd,2012,7.1,60,226510,71.0
2040,Chronicle,2012,7.1,69,222972,71.0
2041,The Hunt,2012,8.3,77,222527,83.0
2042,Total Recall,2012,6.3,43,221304,63.0
2043,Dark Shadows,2012,6.2,55,220609,62.0
2044,Lincoln,2012,7.4,86,220474,74.0
2045,Battleship,2012,5.8,41,219500,58.0
2046,The Place Beyond the Pines,2012,7.3,68,216113,73.0
2047,Seven Psychopaths,2012,7.2,66,213218,72.0
2048,Lawless,2012,7.3,58,206387,73.0
2049,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,204970,55.0
2050,End of Watch,2012,7.6,68,204032,76.0
2051,Hotel Transylvania,2012,7.1,47,191067,71.0
2052,Sinister,2012,6.8,53,187214,68.0
2053,American Reunion,2012,6.7,49,186259,67.0
2054,Safe House,2012,6.8,52,183623,68.0
2055,Project X,2012,6.7,48,172235,67.0
2056,The Impossible,2012,7.6,73,168473,76.0
2057,Wrath of the Titans,2012,5.7,37,166812,57.0
2058,The Vow,2012,6.8,43,166334,68.0
2059,Ice Age: Continental Drift,2012,6.6,49,165485,66.0
2060,This Means War,2012,6.3,31,162141,63.0
2061,The Woman in Black,2012,6.4,62,159404,64.0
2062,Mud,2012,7.4,76,151117,74.0
2063,Rise of the Guardians,2012,7.3,57,139008,73.0
2064,Abraham Lincoln: Vampire Hunter,2012,5.9,42,138713,59.0
2065,Madagascar 3: Europe's Most Wanted,2012,6.9,60,137000,69.0
2066,Man on a Ledge,2012,6.6,40,134430,66.0
2067,Underworld Awakening,2012,6.4,39,133813,64.0
2068,The Master,2012,7.1,86,123354,71.0
2069,Killing Them Softly,2012,6.2,64,120946,62.0
2070,Spring Breakers,2012,5.3,63,120798,53.0
2071,Resident Evil: Retribution,2012,5.4,39,120786,54.0
2072,Magic Mike,2012,6.1,72,119714,61.0
2073,The Campaign,2012,6.1,50,115384,61.0
2074,This Is 40,2012,6.2,59,113827,62.0
2075,The Watch,2012,5.7,36,112600,57.0
2076,Savages,2012,6.5,59,112154,65.0
2077,Safety Not Guaranteed,2012,7.0,72,109292,70.0
2078,Contraband,2012,6.5,51,108474,65.0
2079,Premium Rush,2012,6.5,66,102948,65.0
2080,Seeking a Friend for the End of the World,2012,6.7,59,98708,67.0
2081,Get the Gringo,2012,7.0,60,95286,70.0
2082,Safe,2012,6.5,55,92877,65.0
2083,The Lucky One,2012,6.5,39,89636,65.0
2084,Ruby Sparks,2012,7.2,67,88344,72.0
2085,Lockout,2012,6.1,48,87630,61.0
2086,The Lorax,2012,6.4,46,86488,64.0
2087,The Five-Year Engagement,2012,6.2,62,85250,62.0
2088,Frankenweenie,2012,7.0,74,84806,70.0
2089,ParaNorman,2012,7.0,72,82995,70.0
2090,Amour,2012,7.9,94,81087,79.0
2091,Anna Karenina,2012,6.6,63,80952,66.0
2092,Here Comes the Boom,2012,6.4,40,79934,64.0
2093,That's My Boy,2012,5.6,31,79181,56.0
2094,Journey 2: The Mysterious Island,2012,5.8,41,78827,58.0
2095,The Raven,2012,6.4,44,78022,64.0
2096,Mirror Mirror,2012,5.6,46,76998,56.0
2097,To Rome with Love,2012,6.3,54,76893,63.0
2098,Stuck in Love,2012,7.3,49,76162,73.0
2099,Beasts of the Southern Wild,2012,7.3,86,75726,73.0
2100,Disconnect,2012,7.6,64,68194,76.0
2101,Red Dawn,2012,5.4,31,67622,54.0
2102,Rock of Ages,2012,5.9,47,67557,59.0
2103,The Words,2012,7.1,37,67555,71.0
2104,Wanderlust,2012,5.6,53,67229,56.0
2105,Hitchcock,2012,6.8,55,66218,68.0
2106,Upside Down,2012,6.4,45,64376,64.0
2107,House at the End of the Street,2012,5.6,31,64281,56.0
2108,What to Expect When You're Expecting,2012,5.7,41,63481,57.0
2109,The Iceman,2012,6.9,60,62871,69.0
2110,Gangs of Wasseypur,2012,8.2,89,62848,82.0
2111,Act of Valor,2012,6.5,40,62326,65.0
2112,The First Time,2012,6.9,55,59486,69.0
2113,Robot & Frank,2012,7.1,67,57514,71.0
2114,The Man with the Iron Fists,2012,5.4,51,57079,54.0
2115,Rust and Bone,2012,7.5,73,56419,75.0
2116,Paranormal Activity 4,2012,4.6,40,56296,46.0
2117,Frances Ha,2012,7.4,82,55995,74.0
2118,Searching for Sugar Man,2012,8.2,79,55953,82.0
2119,Silent Hill: Revelation,2012,5.0,16,54998,50.0
2120,Trouble with the Curve,2012,6.8,58,53739,68.0
2121,Red Lights,2012,6.2,36,53507,62.0
2122,The Possession,2012,5.9,45,51883,59.0
2123,V/H/S,2012,5.8,55,50700,58.0
